20,1000030020058,01,1,2018-04-02,2015-10-05,"青森市五ケ大字（入内・野沢・小館・荒川・大野）財産区",,201,"青森県","青森市","中央１丁目２２番５号",,02,201,0300822,,,,,,,2015-10-05,1,,,,,"アオモリシゴケオオアザニュウナイノザワコダテアラカワオオノザイサンク",0
21,1000030020066,01,1,2018-04-02,2015-10-05,"青森市十二ケ大字財産区",,201,"青森県","青森市","中央１丁目２２番５号",,02,201,0300822,,,,,,,2015-10-05,1,,,,,"アオモリシジュウニケオオアザザイサンク",0
22,1000030020074,01,1,2018-04-02,2015-10-05,"青森市大字戸崎財産区",,201,"青森県","青森市","中央１丁目２２番５号",,02,201,0300822,,,,,,,2015-10-05,1,,,,,"アオモリシオオアザトザキザイサンク",0
23,1000030020082,01,1,2018-04-02,2015-10-05,"青森市大字入内財産区",,201,"青森県","青森市","中央１丁目２２番５号",,02,201,0300822,,,,,,,2015-10-05,1,,,,,"アオモリシオオアザニュウナイザイサンク",0
24,1000030020090,01,1,2018-04-02,2015-10-05,"青森市大字矢田財産区",,201,"青森県","青森市","中央１丁目２２番５号",,02,201,0300822,,,,,,,2015-10-05,1,,,,,"アオモリシオオアザヤダザイサンク",0
25,1000030020099,01,1,2020-09-01,2015-10-05,"弘前市清水富田財産区",,201,"青森県","弘前市","大字上白銀町１－１",,02,202,0368207,,,,,,,2015-10-05,1,"Hirosakishi Shimizutomita Zaisanku","Aomori","1-1, Kamishirogane cho, Hirosaki-shi",,"ヒロサキシシミズトミタザイサンク",0
26,1000030020108,01,1,2020-09-01,2015-10-05,"弘前市境関財産区",,201,"青森県","弘前市","大字上白銀町１－１",,02,202,0368207,,,,,,,2015-10-05,1,"Hirosakishi Sakaizeki Zaisanku","Aomori","1-1, Kamishirogane cho, Hirosaki-shi",,"ヒロサキシサカイゼキザイサンク",0
27,1000030020116,01,1,2020-09-01,2015-10-05,"弘前市一野渡財産区",,201,"青森県","弘前市","大字上白銀町１－１",,02,202,0368207,,,,,,,2015-10-05,1,"Hirosakishi Ichinowatari Zaisanku","Aomori","1-1, Kamishirogane cho, Hirosaki-shi",,"ヒロサキシイチノワタリザイサンク",0
28,1000030020124,01,1,2020-09-01,2015-10-05,"弘前市折笠財産区",,201,"青森県","弘前市","大字上白銀町１－１",,02,202,0368207,,,,,,,2015-10-05,1,"Hirosakishi Orikasa Zaisanku","Aomori","1-1, Kamishirogane cho, Hirosaki-shi",,"ヒロサキシオリガサザイサンク",0
29,1000030020132,01,1,2020-09-01,2015-10-05,"弘前市十面沢財産区",,201,"青森県","弘前市","大字上白銀町１－１",,02,202,0368207,,,,,,,2015-10-05,1,"Hirosakishi Totsurazawa Zaisanku","Aomori","1-1, Kamishirogane cho, Hirosaki-shi",,"ヒロサキシトツラザワザイサンク",0
30,1000030020140,01,1,2018-04-02,2015-10-05,"黒石市赤坂財産区",,201,"青森県","黒石市","大字市ノ町１１－１",,02,204,0360307,,,,,,,2015-10-05,1,,,,,"クロイシシアカサカザイサンク",0
31,1000030020149,01,1,2018-04-02,2015-10-05,"黒石市株梗木財産区",,201,"青森県","黒石市","大字市ノ町１１－１",,02,204,0360307,,,,,,,2015-10-05,1,,,,,"クロイシシグミノキザイサンク",0
32,1000030020157,01,1,2018-04-02,2015-10-05,"黒石市東野添財産区",,201,"青森県","黒石市","大字市ノ町１１－１",,02,204,0360307,,,,,,,2015-10-05,1,,,,,"クロイシシヒガシノゾエザイサンク",0
33,1000030020165,12,1,2020-09-01,2018-05-07,"神山財産区",,201,"青森県","五所川原市","字布屋町４１番地１",,02,205,0370053,,,,,,,2015-10-05,1,"Kamiyama Property Ward","Aomori","41-1,nunoyacho, Goshogawara shi",,"カミヤマザイサンク",0
34,1000030020173,01,1,2018-04-02,2015-10-05,"切田財産区",,201,"青森県","十和田市","西十二番町６－１",,02,206,0340093,,,,,,,2015-10-05,1,"Kirida Property ward ","Aomori","6-1,Nishi12-bancho, Towada shi",,"キリダザイサンク",0
35,1000030020181,01,1,2018-04-02,2015-10-05,"館岡財産区",,201,"青森県","つがる市","木造若緑６１－１",,02,209,0383138,,,,,,,2015-10-05,1,,,,,"タテオカザイサンク",0
36,1000030020198,01,1,2020-09-01,2015-10-05,"葛川財産区",,201,"青森県","平川市","柏木町藤山２５－６",,02,210,0360104,,,,,,,2015-10-05,1,"Kuzukawa Property Ward","Aomori","25-6,Fujiyama Kashiwagimachi, Hirakawa-shi",,"クズカワザイサンク",0
37,1000030020207,01,1,2020-09-01,2015-10-05,"碇ヶ関財産区",,201,"青森県","平川市","柏木町藤山２５－６",,02,210,0360104,,,,,,,2015-10-05,1,"Ikarigaseki Property Ward","Aomori","25-6,Fujiyama Kashiwagimachi, Hirakawa-shi",,"イカリガセキザイサンク",0
38,1000030020215,01,1,2018-04-02,2015-10-05,"大字大平費",,201,"青森県","東津軽郡外ヶ浜町","字蟹田高銅屋４４－２",,02,307,0301303,,,,,,,2015-10-05,1,,,,,"オオアザオオダイヒ",0
39,1000030020223,12,1,2022-01-05,2021-05-06,"長平財産区",,201,"青森県","西津軽郡鰺ヶ沢町","大字舞戸町字鳴戸３２１",,02,321,0382761,,,,,,,2015-10-05,1,"Nagadai Zaisanku","Aomori","321,Maitomachi naruto, Ajigasawa town",,"ナガダイザイサンク",0
40,1000030020231,01,1,2018-04-02,2015-10-05,"貝守財産区",,201,"青森県","三戸郡三戸町","大字在府小路町４３",,02,441,0390132,,,,,,,2015-10-05,1,"Kaimori property ward","Aomori","43,zaifukojimachi, Sannohe gun Sannohe machi",,"カイモリザイサンク",0
41,1000030020248,01,1,2022-10-25,2022-10-20,"風合瀬財産区",,201,"青森県","西津軽郡深浦町","大字深浦字苗代沢８４－２",,02,323,0382324,,,,,,,2022-10-20,1,"Kasose zaisanku","Aomori","fukaura nawasirozawa 84-2, nishitugarugun fukaura machi",,"カソセザイサンク",0
